Projected direction: 16.01, error: 16.01, derivative: 2.67, control var: 6.67, steering_command 67
Projected direction: 5.55, error: 5.55, derivative: -10.46, control var: -5.65, steering_command 110
Projected direction: -16.14, error: -16.14, derivative: -21.70, control var: -20.03, steering_command 160
Projected direction: 10.37, error: 10.37, derivative: 26.51, control var: 21.67, steering_command 15
Projected direction: -2.33, error: -2.33, derivative: -12.70, control var: -9.59, steering_command 124
Projected direction: -4.34, error: -4.34, derivative: -2.01, control var: -2.71, steering_command 100
Projected direction: -3.86, error: -3.86, derivative: 0.48, control var: -0.82, steering_command 93
Projected direction: -4.16, error: -4.16, derivative: -0.30, control var: -1.45, steering_command 96
Projected direction: -3.20, error: -3.20, derivative: 0.96, control var: -0.28, steering_command 91
Projected direction: -2.66, error: -2.66, derivative: 0.54, control var: -0.42, steering_command 92
Projected direction: -1.59, error: -1.59, derivative: 1.07, control var: 0.27, steering_command 90
Projected direction: -2.19, error: -2.19, derivative: -0.60, control var: -1.08, steering_command 94
Projected direction: -1.15, error: -1.15, derivative: 1.04, control var: 0.38, steering_command 89
Projected direction: 29.75, error: 29.75, derivative: 30.90, control var: 30.56, steering_command 0
Projected direction: 24.12, error: 24.12, derivative: -5.63, control var: 3.30, steering_command 79
Projected direction: -0.81, error: -0.81, derivative: -24.93, control var: -17.70, steering_command 152
Projected direction: 4.75, error: 4.75, derivative: 5.56, control var: 5.32, steering_command 72
Projected direction: 1.23, error: 1.23, derivative: -3.52, control var: -2.09, steering_command 98
Projected direction: -11.34, error: -11.34, derivative: -12.58, control var: -12.21, steering_command 133
Projected direction: 1.20, error: 1.20, derivative: 12.54, control var: 9.14, steering_command 59
Projected direction: -39.16, error: -39.16, derivative: -40.37, control var: -40.00, steering_command 179
Projected direction: 36.83, error: 36.83, derivative: 76.00, control var: 64.25, steering_command 0
Projected direction: 40.07, error: 40.07, derivative: 3.24, control var: 14.29, steering_command 41
